Dataset: breast-cancer-wisconsin.data
Class information:
Class 1 = Malignant
Class 0 = Benign

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 45.0
Alpha = 2.0

The following is the list of weights:
[ 0.25 1.0 0.5 2.0 8.0 2.0 4.0 8.0 32.0 16.0 0.0625 4.0 1.0 0.5 32.0 2.0 16.0 8.0 2.0 32.0 0.125 0.5 1.0 8.0 32.0 2.0 16.0 4.0 4.0 8.0 8.0 2.0 4.0 8.0 1.0 2.0 1.0 8.0 1.0 8.0 1.0 0.25 4.0 8.0 8.0 16.0 2.0 2.0 1.0 16.0 0.03125 2.0 16.0 2.0 8.0 2.0 2.0 16.0 4.0 16.0 0.5 8.0 2.0 8.0 4.0 2.0 16.0 4.0 1.0 2.0 0.5 0.5 4.0 8.0 8.0 2.0 2.0 2.0 8.0 16.0 4.0 16.0 8.0 4.0 2.0 1.0 4.0 1.0 1.0 4.0 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 93.99%

	Actual Class	Predicted Class
	------------	---------------
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     1
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     1      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     0
	     0      	     0
	     0      	     0
	     1      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
