Dataset: breast-cancer-wisconsin.data
Class information:
Class 1 = Malignant
Class 0 = Benign

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 45.0
Alpha = 2.0

The following is the list of weights:
[ 0.001953125 8.0 3.814697265625E-6 4.0 8.0 6.938893903907228E-18 32.0 16.0 32.0 64.0 2.44140625E-4 8.0 2.0 2.6469779601696886E-23 32.0 32.0 8.0 32.0 8.0 64.0 1.0 8.881784197001252E-16 8.0 3.814697265625E-6 4.0 0.03125 8.0 4.0 16.0 8.0 0.0078125 4.0 4.0 16.0 1.0842021724855044E-19 2.0 1.0 8.0 1.0 4.0 16.0 3.814697265625E-6 1.0 1.4901161193847656E-8 0.5 4.0 2.384185791015625E-7 1.0 1.0 32.0 2.1684043449710089E-19 0.001953125 16.0 0.015625 16.0 4.0 16.0 0.25 32.0 16.0 5.9604644775390625E-8 4.0 6.103515625E-5 9.5367431640625E-7 16.0 0.5 2.44140625E-4 4.0 8.0 16.0 9.5367431640625E-7 6.103515625E-5 1.0 16.0 3.814697265625E-6 1.0 0.5 3.814697265625E-6 64.0 32.0 3.552713678800501E-15 0.125 3.0517578125E-5 16.0 2.0 1.0 4.0 1.0 1.0 8.0 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 95.28%

	Actual Class	Predicted Class
	------------	---------------
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
