Dataset: glass.data
Class information:
Class 1 = Building Windows Float Processed
Class 2 = Building Windows Non-float Processed
Class 3 = Vehicle Windows Float Processed
Class 4 = Containers
Class 5 = Tableware
Class 6 = Headlamps

----------------------------------------
Parameters of the trained Naive Bayes model
----------------------------------------
m = 1.0
p = 0.001

Prior and list of likelihoods for class 1(rounded to five decimal places):
0.34266
[ 0.74002 0.24002 2.0E-5 2.0E-5 2.0E-5 0.36002 0.52002 0.10002 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 0.06002 0.90002 0.02002 0.24002 0.74002 2.0E-5 2.0E-5 2.0E-5 2.0E-5 0.22002 0.46002 0.30002 2.0E-5 2.0E-5 0.98002 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 0.02002 0.62002 0.30002 0.04002 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 0.98002 2.0E-5 2.0E-5 2.0E-5 0.70002 0.20002 0.06002 0.02002 2.0E-5 2.0E-5 ]

Prior and list of likelihoods for class 2(rounded to five decimal places):
0.33566
[ 0.77553 0.16329 0.04084 0.02043 0.04084 0.36737 0.53063 0.02043 2.0E-5 2.0E-5 2.0E-5 0.12247 0.04084 0.10206 0.71431 2.0E-5 0.08165 0.83676 0.06124 2.0E-5 0.02043 0.04084 0.10206 0.59186 0.22451 2.0E-5 2.0E-5 0.9592 0.02043 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 2.0E-5 0.18369 0.53063 0.06124 0.04084 0.04084 2.0E-5 0.06124 0.04084 2.0E-5 0.02043 0.9592 2.0E-5 2.0E-5 0.02043 0.67349 0.14288 0.12247 0.04084 2.0E-5 2.0E-5 ]

Prior and list of likelihoods for class 3(rounded to five decimal places):
0.06993
[ 0.72736 0.18191 9.0E-5 9.0E-5 9.0E-5 0.091 0.63645 0.18191 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 0.90918 9.0E-5 0.27282 0.63645 9.0E-5 9.0E-5 9.0E-5 9.0E-5 0.27282 0.45464 0.18191 9.0E-5 9.0E-5 0.90918 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 0.72736 0.18191 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 9.0E-5 0.90918 9.0E-5 9.0E-5 9.0E-5 0.81827 0.091 9.0E-5 9.0E-5 9.0E-5 9.0E-5 ]

Prior and list of likelihoods for class 4(rounded to five decimal places):
0.05594
[ 0.55567 0.33344 1.1E-4 1.1E-4 0.22233 0.22233 0.33344 0.11122 1.1E-4 1.1E-4 1.1E-4 0.55567 0.22233 0.11122 1.1E-4 1.1E-4 1.1E-4 0.66678 1.1E-4 0.22233 0.11122 0.11122 1.1E-4 0.22233 0.44456 1.1E-4 1.1E-4 0.66678 0.11122 1.1E-4 1.1E-4 1.1E-4 1.1E-4 0.11122 0.11122 0.11122 1.1E-4 1.1E-4 1.1E-4 0.11122 0.44456 0.11122 1.1E-4 1.1E-4 1.1E-4 1.1E-4 0.77789 1.1E-4 0.11122 1.1E-4 0.889 1.1E-4 1.1E-4 1.1E-4 1.1E-4 1.1E-4 ]

Prior and list of likelihoods for class 5(rounded to five decimal places):
0.04196
[ 0.85729 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 0.71443 1.4E-4 1.4E-4 0.143 0.28586 0.143 0.42871 1.4E-4 1.4E-4 0.143 0.57157 0.143 1.4E-4 1.4E-4 1.4E-4 1.4E-4 0.57157 1.4E-4 0.143 0.143 0.85729 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 0.143 0.143 1.4E-4 0.42871 0.143 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 0.85729 1.4E-4 1.4E-4 1.4E-4 0.85729 1.4E-4 1.4E-4 1.4E-4 1.4E-4 1.4E-4 ]

Prior and list of likelihoods for class 6(rounded to five decimal places):
0.15385
[ 0.82613 0.13048 4.0E-5 4.0E-5 0.04352 4.0E-5 0.13048 0.65222 0.13048 4.0E-5 4.0E-5 0.73917 0.04352 0.04352 0.13048 4.0E-5 4.0E-5 0.39135 0.56526 4.0E-5 4.0E-5 0.087 0.04352 0.21743 0.56526 4.0E-5 0.04352 0.78265 0.13048 0.04352 4.0E-5 4.0E-5 4.0E-5 4.0E-5 0.087 0.04352 4.0E-5 0.60874 0.21743 4.0E-5 4.0E-5 4.0E-5 4.0E-5 4.0E-5 4.0E-5 4.0E-5 0.56526 0.34787 0.04352 4.0E-5 0.95657 4.0E-5 4.0E-5 4.0E-5 4.0E-5 4.0E-5 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 53.52%

	Actual Class	Predicted Class
	------------	---------------
	     3      	     1
	     2      	     2
	     2      	     1
	     6      	     6
	     2      	     1
	     6      	     6
	     2      	     2
	     2      	     2
	     1      	     2
	     5      	     4
	     2      	     2
	     2      	     1
	     2      	     1
	     2      	     2
	     1      	     2
	     3      	     2
	     2      	     4
	     4      	     4
	     2      	     2
	     3      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     2      	     2
	     2      	     2
	     5      	     2
	     1      	     1
	     4      	     2
	     2      	     2
	     2      	     2
	     1      	     2
	     1      	     1
	     1      	     1
	     4      	     2
	     1      	     1
	     1      	     1
	     5      	     5
	     3      	     1
	     1      	     2
	     2      	     2
	     2      	     2
	     4      	     4
	     1      	     1
	     1      	     1
	     1      	     2
	     1      	     2
	     1      	     2
	     2      	     1
	     3      	     1
	     2      	     2
	     6      	     6
	     2      	     1
	     6      	     6
	     6      	     6
	     2      	     2
	     1      	     1
	     2      	     1
	     2      	     1
	     1      	     1
	     2      	     1
	     1      	     1
	     2      	     5
	     2      	     2
	     6      	     2
	     1      	     1
	     3      	     2
	     4      	     2
	     2      	     1
	     3      	     2
	     6      	     6
	     1      	     2
