Dataset: glass.data
Class information:
Class 1 = Building Windows Float Processed
Class 2 = Building Windows Non-float Processed
Class 3 = Vehicle Windows Float Processed
Class 4 = Containers
Class 5 = Tableware
Class 6 = Headlamps

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 28.0
Alpha = 2.0

List of weights for class 1:
[ 0.5 4.0 1.0 1.0 1.0 2.0 4.0 0.5 0.5 1.0 1.0 0.0625 1.0 1.0 16.0 2.0 2.0 4.0 0.25 1.0 1.0 1.0 2.0 1.0 1.0 1.0 1.0 2.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.25 8.0 2.0 1.0 1.0 1.0 0.5 1.0 1.0 4.0 0.5 1.0 1.0 0.5 2.0 2.0 1.0 1.0 1.0 ]

List of weights for class 2:
[ 0.0625 8.0 4.0 2.0 4.0 16.0 2.0 0.0078125 1.0 1.0 1.0 1.0 2.0 4.0 0.25 1.0 4.0 1.0 0.5 1.0 2.0 4.0 1.0 1.0 0.5 0.5 1.0 4.0 0.5 1.0 1.0 1.0 1.0 1.0 0.5 1.0 4.0 0.125 0.125 2.0 2.0 0.5 4.0 4.0 1.0 2.0 2.0 0.5 1.0 2.0 0.25 1.0 4.0 2.0 1.0 1.0 ]

List of weights for class 3:
[ 2.0 1.0 1.0 1.0 1.0 0.25 4.0 2.0 1.0 1.0 1.0 0.5 1.0 1.0 4.0 1.0 4.0 1.0 0.5 1.0 1.0 1.0 4.0 2.0 0.25 1.0 1.0 2.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 4.0 0.25 1.0 1.0 1.0 1.0 1.0 1.0 2.0 1.0 1.0 1.0 2.0 2.0 0.5 1.0 1.0 1.0 ]

List of weights for class 4:
[ 1.0 4.0 1.0 1.0 4.0 4.0 1.0 0.5 0.5 1.0 1.0 8.0 4.0 1.0 0.125 1.0 0.5 8.0 0.25 4.0 2.0 1.0 1.0 1.0 2.0 1.0 1.0 1.0 2.0 1.0 1.0 1.0 1.0 2.0 2.0 2.0 0.5 0.125 0.5 2.0 8.0 2.0 1.0 1.0 1.0 1.0 2.0 1.0 2.0 1.0 4.0 1.0 1.0 1.0 1.0 1.0 ]

List of weights for class 5:
[ 2.0 1.0 1.0 1.0 1.0 1.0 0.125 8.0 1.0 1.0 2.0 2.0 2.0 4.0 0.125 1.0 1.0 2.0 1.0 1.0 1.0 1.0 1.0 4.0 0.125 2.0 2.0 2.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 0.125 2.0 2.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 1.0 1.0 1.0 2.0 1.0 1.0 1.0 1.0 1.0 ]

List of weights for class 6:
[ 2.0 2.0 1.0 1.0 1.0 0.5 0.5 4.0 4.0 1.0 1.0 8.0 2.0 1.0 0.5 0.5 0.5 2.0 8.0 0.5 0.5 4.0 0.5 2.0 2.0 1.0 1.0 2.0 2.0 1.0 1.0 1.0 1.0 1.0 2.0 2.0 0.5 4.0 2.0 0.5 0.5 1.0 1.0 1.0 1.0 1.0 0.25 16.0 1.0 1.0 4.0 1.0 1.0 1.0 1.0 1.0 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 43.66%

	Actual Class	Predicted Class
	------------	---------------
	     3      	     1
	     2      	     1
	     2      	     1
	     6      	     6
	     2      	     1
	     6      	     6
	     2      	     1
	     2      	     1
	     1      	     1
	     5      	     4
	     2      	     1
	     2      	     1
	     2      	     1
	     2      	     1
	     1      	     1
	     3      	     1
	     2      	     4
	     4      	     4
	     2      	     2
	     3      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     2      	     1
	     2      	     1
	     5      	     1
	     1      	     1
	     4      	     2
	     2      	     1
	     2      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     4      	     2
	     1      	     1
	     1      	     1
	     5      	     6
	     3      	     1
	     1      	     1
	     2      	     1
	     2      	     1
	     4      	     4
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     2      	     1
	     3      	     1
	     2      	     1
	     6      	     6
	     2      	     1
	     6      	     6
	     6      	     6
	     2      	     1
	     1      	     1
	     2      	     1
	     2      	     1
	     1      	     1
	     2      	     1
	     1      	     1
	     2      	     4
	     2      	     1
	     6      	     4
	     1      	     1
	     3      	     1
	     4      	     2
	     2      	     1
	     3      	     1
	     6      	     6
	     1      	     1
