Dataset: glass.data
Class information:
Class 1 = Building Windows Float Processed
Class 2 = Building Windows Non-float Processed
Class 3 = Vehicle Windows Float Processed
Class 4 = Containers
Class 5 = Tableware
Class 6 = Headlamps

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 28.0
Alpha = 2.0

List of weights for class 1:
[ 8.271806125530277E-25 4.0 1.0 1.0 1.0 0.25 4.0 1.3234889800848443E-23 0.25 1.0 1.0 9.5367431640625E-7 0.00390625 8.673617379884035E-19 32.0 32.0 1.4901161193847656E-8 8.0 2.7755575615628914E-17 1.0 1.0 0.5 2.6469779601696886E-23 0.25 1.0 1.0 1.0 6.776263578034403E-21 4.8828125E-4 1.0 1.0 1.0 1.0 1.0 4.8828125E-4 1.0 1.3234889800848443E-23 8.0 16.0 16.0 1.0 1.0 0.5 0.5 1.0 1.0 2.710505431213761E-20 1.220703125E-4 1.0 1.0 0.00390625 1.3877787807814457E-17 3.0517578125E-5 2.0 1.0 1.0 ]

List of weights for class 2:
[ 3.3087224502121107E-24 0.00390625 8.0 4.0 2.0 16.0 8.0 4.0389678347315804E-28 0.5 1.0 0.5 3.637978807091713E-12 4.0 16.0 1.7763568394002505E-15 0.25 4.0 1.2924697071141057E-26 2.0 1.0 4.0 2.0 1.0 1.0 2.2737367544323206E-13 1.1368683772161603E-13 0.5 1.2924697071141057E-26 8.0 1.0 1.0 1.0 1.0 1.0 9.094947017729282E-13 0.5 16.0 4.0 8.673617379884035E-19 4.0 8.0 0.0625 32.0 32.0 1.0 2.0 0.0078125 3.3087224502121107E-24 1.0 4.0 5.169878828456423E-26 0.25 4.0 2.0 1.0 1.0 ]

List of weights for class 3:
[ 2.0 3.552713678800501E-15 1.0 1.0 1.0 1.7763568394002505E-15 2.0 2.0 1.0 1.0 1.0 2.9802322387695312E-8 1.0 1.9073486328125E-6 1.0 0.125 16.0 1.7763568394002505E-15 0.25 1.0 1.0 3.814697265625E-6 4.0 1.0 4.6566128730773926E-10 1.0 1.0 7.105427357601002E-15 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 0.5 8.0 1.0 4.6566128730773926E-10 3.814697265625E-6 1.0 1.0 1.0 1.0 1.0 5.9604644775390625E-8 1.1920928955078125E-7 1.0 1.0 0.25 0.5 5.9604644775390625E-8 9.5367431640625E-7 1.0 1.0 ]

List of weights for class 4:
[ 1.0 0.25 0.5 1.0 8.0 8.0 0.25 0.03125 0.25 1.0 1.0 4.0 1.0 1.0 0.03125 1.0 0.0625 4.0 0.015625 32.0 4.0 2.0 0.5 0.015625 8.0 1.0 0.25 0.03125 2.0 0.25 1.0 1.0 1.0 8.0 4.0 4.0 0.5 2.44140625E-4 0.5 8.0 16.0 32.0 0.5 0.125 1.0 0.5 0.125 0.5 2.0 1.0 0.5 1.0 0.5 0.5 1.0 1.0 ]

List of weights for class 5:
[ 1.0 0.125 1.0 1.0 0.5 0.5 0.00390625 8.0 1.0 1.0 16.0 1.0 8.0 8.0 0.001953125 1.0 2.0 1.0 0.125 0.5 0.5 0.25 0.5 8.0 0.00390625 8.0 8.0 2.0 0.125 0.5 1.0 1.0 1.0 1.0 0.5 8.0 1.0 0.001953125 2.0 8.0 1.0 1.0 1.0 1.0 1.0 1.0 2.0 0.25 0.25 1.0 0.125 1.0 1.0 1.0 1.0 1.0 ]

List of weights for class 6:
[ 0.03125 4.0 0.5 0.5 2.0 0.0625 0.125 1.0 8.0 1.0 1.0 8.0 2.0 0.5 2.0 0.00390625 0.125 4.0 8.0 0.015625 0.0625 8.0 0.001953125 4.0 4.0 1.0 4.0 0.03125 4.0 4.0 1.0 1.0 1.0 0.125 1.0 8.0 0.0625 16.0 16.0 0.0078125 0.5 0.5 0.5 0.5 1.0 1.0 4.8828125E-4 32.0 8.0 0.5 0.125 1.0 0.5 1.0 1.0 1.0 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 46.48%

	Actual Class	Predicted Class
	------------	---------------
	     3      	     1
	     2      	     1
	     2      	     1
	     6      	     6
	     2      	     1
	     6      	     6
	     2      	     1
	     2      	     1
	     1      	     1
	     5      	     4
	     2      	     1
	     2      	     1
	     2      	     1
	     2      	     1
	     1      	     1
	     3      	     1
	     2      	     4
	     4      	     4
	     2      	     2
	     3      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     2      	     1
	     2      	     1
	     5      	     1
	     1      	     1
	     4      	     6
	     2      	     1
	     2      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     4      	     4
	     1      	     1
	     1      	     1
	     5      	     6
	     3      	     1
	     1      	     1
	     2      	     1
	     2      	     1
	     4      	     4
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     2      	     1
	     3      	     1
	     2      	     1
	     6      	     6
	     2      	     1
	     6      	     6
	     6      	     6
	     2      	     1
	     1      	     1
	     2      	     1
	     2      	     1
	     1      	     1
	     2      	     1
	     1      	     1
	     2      	     5
	     2      	     1
	     6      	     6
	     1      	     1
	     3      	     1
	     4      	     5
	     2      	     1
	     3      	     1
	     6      	     6
	     1      	     1
