Dataset: iris.data
Class information:
Class 1 = Iris Setosa
Class 2 = Iris Versicolour
Class 3 = Iris Virginica

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 8.0
Alpha = 2.0

List of weights for class 1:
[ 2.0 2.0 1.0 1.0 1.0 4.0 1.0 4.0 1.0 1.0 1.0 1.0 1.0 4.0 1.0 1.0 ]

List of weights for class 2:
[ 1.0 2.0 1.0 0.5 2.0 0.5 1.0 1.0 1.0 8.0 4.0 0.0625 0.5 1.0 2.0 0.5 ]

List of weights for class 3:
[ 2.0 0.5 2.0 4.0 2.0 4.0 1.0 1.0 1.0 1.0 0.25 8.0 4.0 1.0 2.0 4.0 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 94.0%

	Actual Class	Predicted Class
	------------	---------------
	     2      	     2
	     3      	     2
	     1      	     1
	     2      	     2
	     2      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     2      	     2
	     2      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     2      	     2
	     2      	     2
	     1      	     1
	     3      	     3
	     2      	     2
	     3      	     3
	     1      	     1
	     3      	     3
	     2      	     2
	     2      	     2
	     1      	     1
	     3      	     3
	     3      	     3
	     3      	     3
	     1      	     1
	     3      	     3
	     3      	     3
	     3      	     3
	     3      	     3
	     3      	     3
	     1      	     1
	     1      	     1
	     3      	     3
	     3      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     3      	     3
	     3      	     3
	     2      	     2
	     3      	     2
	     1      	     1
