Dataset: iris.data
Class information:
Class 1 = Iris Setosa
Class 2 = Iris Versicolour
Class 3 = Iris Virginica

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 8.0
Alpha = 2.0

List of weights for class 1:
[ 2.0 2.0 1.0 1.0 1.0 4.0 1.0 4.0 1.0 1.0 1.0 1.0 1.0 4.0 1.0 1.0 ]

List of weights for class 2:
[ 1.7763568394002505E-15 2.0 2.0 0.5 2.0 1.7763568394002505E-15 1.0 1.0 1.0 8.0 8.0 1.1102230246251565E-16 0.5 1.0 2.0 1.7763568394002505E-15 ]

List of weights for class 3:
[ 2.0 2.8421709430404007E-14 2.0 1.0 5.6843418860808015E-14 2.0 1.0 2.8421709430404007E-14 1.0 0.0625 1.0 8.0 8.0 2.8421709430404007E-14 1.0 4.0 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 92.0%

	Actual Class	Predicted Class
	------------	---------------
	     2      	     2
	     3      	     2
	     1      	     1
	     2      	     2
	     2      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     2      	     2
	     2      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     1      	     1
	     2      	     2
	     2      	     2
	     1      	     1
	     3      	     3
	     2      	     2
	     3      	     3
	     1      	     1
	     3      	     3
	     2      	     2
	     2      	     2
	     1      	     1
	     3      	     3
	     3      	     3
	     3      	     3
	     1      	     1
	     3      	     3
	     3      	     3
	     3      	     2
	     3      	     3
	     3      	     3
	     1      	     1
	     1      	     1
	     3      	     3
	     3      	     2
	     1      	     1
	     1      	     1
	     2      	     2
	     3      	     3
	     3      	     3
	     2      	     2
	     3      	     2
	     1      	     1
