Dataset: house-votes-84.data
Class information:
Class 1 = Republican
Class 0 = Democrat

----------------------------------------
Parameters of the trained Naive Bayes model
----------------------------------------
m = 1.0
p = 0.001

Prior and list of likelihoods for class 0(rounded to five decimal places):
0.64138
[ 0.63102 0.51337 0.86632 0.05883 0.2353 0.45455 0.75936 0.7968 0.75402 0.44386 0.52942 0.17113 0.29412 0.34225 0.64706 0.94653 ]

Prior and list of likelihoods for class 1(rounded to five decimal places):
0.35862
[ 0.15239 0.50477 0.16191 0.97144 0.94287 0.8762 0.2381 0.15239 0.13334 0.6381 0.12382 0.8762 0.84763 0.97144 0.10477 0.68572 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 94.48%

	Actual Class	Predicted Class
	------------	---------------
	     1      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
