Dataset: house-votes-84.data
Class information:
Class 1 = Republican
Class 0 = Democrat

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 8.0
Alpha = 2.0

The following is the list of weights:
[ 0.25 0.0078125 0.0078125 8.0 1.0 0.03125 0.5 0.125 0.125 2.0 4.8828125E-4 2.0 0.5 1.0 0.03125 0.125 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 97.93%

	Actual Class	Predicted Class
	------------	---------------
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
