Dataset: house-votes-84.data
Class information:
Class 1 = Republican
Class 0 = Democrat

----------------------------------------
Parameters of the trained Winnow-2 model
----------------------------------------
Theta = 8.0
Alpha = 2.0

The following is the list of weights:
[ 4.0389678347315804E-28 3.4211388289180104E-49 7.490682167507517E-96 8.0 1.0 1.2037062152420224E-35 2.0 3.2311742677852644E-27 2.4074124304840448E-35 1.0 1.0748601772107342E-137 2.0 4.440892098500626E-16 0.5 7.006492321624085E-46 5.820766091346741E-11 ]

----------------------
Classification Results
----------------------
Prediction accuracy: 97.93%

	Actual Class	Predicted Class
	------------	---------------
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     1
	     1      	     1
	     0      	     0
	     0      	     0
	     0      	     0
	     0      	     0
	     1      	     1
	     1      	     1
	     0      	     0
	     1      	     1
